ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,Filename,FileText,Noise,Procedure,Running,Slide1.RESP,Slide1.RT,Slide1.RTTime,StimList,StimList.Cycle,StimList.Sample
SPIN,1020,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923085</Frequency><Timestamp dt:dt=""r8"">761216099753</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,1007441422,07-17-2017,14:03:39,7:03:39 PM,50,A180713_2T.wav,The GIRL has a PICTURE BOOK.   ,2Talker,TypeSPINProc,StimList,the{SPACE}girl{SPACE}has{SPACE}a{SPACE}picture{SPACE}of{SPACE}{ESCAPE},9413,573203,13,1,50
SPIN,1020,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923085</Frequency><Timestamp dt:dt=""r8"">761216099753</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,1007441422,07-17-2017,14:03:39,7:03:39 PM,51,A181008_SSN.wav,SOMEONE is CROSSING the ROAD.   ,SSN,TypeSPINProc,StimList,someone{SPACE}is{SPACE}crossing{SPACE}the{SPACE}road{SPACE}{ENTER}{ESCAPE},9424,583290,40,1,51
SPIN,1020,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923085</Frequency><Timestamp dt:dt=""r8"">761216099753</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,1007441422,07-17-2017,14:03:39,7:03:39 PM,52,A181515_1T.wav,The TRAIN STOPS at the STATION.   ,1T,TypeSPINProc,StimList,the{SPACE}train{SPACE}stops{SPACE}at{SPACE}the{SPACE}station{ESCAPE},7874,592066,63,1,52
SPIN,1020,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923085</Frequency><Timestamp dt:dt=""r8"">761216099753</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,1007441422,07-17-2017,14:03:39,7:03:39 PM,53,A180911_8T.wav,The BABY BROKE his CUP.   ,8Talker,TypeSPINProc,StimList,x{ESCAPE},5308,597825,27,1,53
SPIN,1020,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923085</Frequency><Timestamp dt:dt=""r8"">761216099753</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,1007441422,07-17-2017,14:03:39,7:03:39 PM,54,A181002_SSN.wav,The JANITOR USED a BROOM.   ,SSN,TypeSPINProc,StimList,the{SPACE}janitor{SPACE}used{SPACE}a{SPACE}ruler{ESCAPE},7930,606753,34,1,54
SPIN,1020,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923085</Frequency><Timestamp dt:dt=""r8"">761216099753</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,1007441422,07-17-2017,14:03:39,7:03:39 PM,55,A180903_8T.wav,THEY are CLIMBING the TREE.   ,8Talker,TypeSPINProc,StimList,x{ESCAPE},4846,612177,19,1,55
SPIN,1020,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923085</Frequency><Timestamp dt:dt=""r8"">761216099753</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,1007441422,07-17-2017,14:03:39,7:03:39 PM,56,A181511_1T.wav,The TINY BABY was PRETTY.   ,1T,TypeSPINProc,StimList,the{SPACE}tiny{SPACE}baby{SPACE}was{SPACE}pretty{SPACE}{ESCAPE},6434,619320,59,1,56
SPIN,1020,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923085</Frequency><Timestamp dt:dt=""r8"">761216099753</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,1007441422,07-17-2017,14:03:39,7:03:39 PM,57,A181006_SSN.wav,The KITCHEN CLOCK was WRONG.   ,SSN,TypeSPINProc,StimList,the{SPACE}kitchen{SPACE}clock{SPACE}was{SPACE}wrong{SPACE}{ESCAPE},7423,627416,38,1,57
SPIN,1020,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923085</Frequency><Timestamp dt:dt=""r8"">761216099753</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,1007441422,07-17-2017,14:03:39,7:03:39 PM,58,A181009_SSN.wav,The MAILMAN BROUGHT a LETTER.   ,SSN,TypeSPINProc,StimList,the{SPACE}mailman{SPACE}found{SPACE}a{SPACE}letter{SPACE}{ESCAPE},8629,636679,41,1,58
SPIN,1020,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2923085</Frequency><Timestamp dt:dt=""r8"">761216099753</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-07-17T19:03:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,1007441422,07-17-2017,14:03:39,7:03:39 PM,59,A181004_SSN.wav,The GOOD BOY is HELPING.   ,SSN,TypeSPINProc,StimList,the{SPACE}good{SPACE}boy{SPACE}was{SPACE}helping{SPACE}{ESCAPE},7579,644855,36,1,59
